Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,-24.868556713900478,49.63631510539924,-66.95214347384585,-6.67960170233391,-17.98907876082083,-11.850850116808722,,0.0,0.0,0.0,0.0,0.0,0.0,,0.17548702589275317,-0.22415419057989205,0.0,0.0,0.0,0.20002539833838984,, 0.0659119, 0.262332, 0.372448
,-24.868556713900478,49.63631510539924,-66.95214347384585,-6.67960170233391,-17.98907876082083,-11.850850116808722,,0.0,0.0,0.0,0.0,0.0,0.0,,0.17548702589275317,-0.22415419057989205,0.0,0.0,0.0,0.20002539833838984,, 0.0657959, 0.260195, 0.374668
,-24.868556713900478,49.63631510539924,-66.95214347384585,-6.67960170233391,-17.98907876082083,-11.850850116808722,,0.0,0.0,0.0,0.0,0.0,0.0,,0.17548702589275317,-0.22415419057989205,0.0,0.0,0.0,0.20002539833838984,, 0.0657959, 0.260195, 0.374668
,-10.82235702632944,63.74315819731275,-78.23147050748177,-9.74583512690629,-19.17049310161183,-19.181671341284016,,0.0,0.0,0.0,0.0,0.0,0.0,,0.14593002330988544,-0.1648768523050763,0.0,0.0,0.0,0.12236176087106185,, 0.0657959, 0.260195, 0.374668
,-10.82235702632944,63.74315819731275,-78.23147050748177,-9.74583512690629,-19.17049310161183,-19.181671341284016,,0.0,0.0,0.0,0.0,0.0,0.0,,0.14593002330988544,-0.1648768523050763,0.0,0.0,0.0,0.12236176087106185,, 0.0657959, 0.260195, 0.374668
,-10.82235702632944,63.74315819731275,-78.23147050748177,-9.74583512690629,-19.17049310161183,-19.181671341284016,,0.0,0.0,0.0,0.0,0.0,0.0,,0.14593002330988544,-0.1648768523050763,0.0,0.0,0.0,0.12236176087106185,, 0.0662053, 0.253403, 0.381588
,-10.82235702632944,63.74315819731275,-78.23147050748177,-9.74583512690629,-19.17049310161183,-19.181671341284016,,0.0,0.0,0.0,0.0,0.0,0.0,,0.14593002330988544,-0.1648768523050763,0.0,0.0,0.0,0.12236176087106185,, 0.066248, 0.251572, 0.383428
,-7.865439533866452,85.3510814415012,-84.45062465029261,-12.511031272847045,-20.098493748339394,-25.927074001515965,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1296981392110616,-0.10806513783236124,0.0,0.0,0.0,0.0386019840935681,, 0.066248, 0.251572, 0.383428
,-7.865439533866452,85.3510814415012,-84.45062465029261,-12.511031272847045,-20.098493748339394,-25.927074001515965,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1296981392110616,-0.10806513783236124,0.0,0.0,0.0,0.0386019840935681,, 0.0662457, 0.247774, 0.387203
,-7.865439533866452,85.3510814415012,-84.45062465029261,-12.511031272847045,-20.098493748339394,-25.927074001515965,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1296981392110616,-0.10806513783236124,0.0,0.0,0.0,0.0386019840935681,, 0.0662544, 0.244386, 0.390527
,-13.250447684739354,97.5715267447466,-89.85898629125079,-11.697286907265207,-21.501384779279302,-30.606721025000397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1112778777755507,-0.04353644771166027,0.0,0.0,0.0,-0.06676963017928826,, 0.0662544, 0.244386, 0.390527
,-13.250447684739354,97.5715267447466,-89.85898629125079,-11.697286907265207,-21.501384779279302,-30.606721025000397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1112778777755507,-0.04353644771166027,0.0,0.0,0.0,-0.06676963017928826,, 0.0662544, 0.244386, 0.390527
,-13.250447684739354,97.5715267447466,-89.85898629125079,-11.697286907265207,-21.501384779279302,-30.606721025000397,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1112778777755507,-0.04353644771166027,0.0,0.0,0.0,-0.06676963017928826,, 0.0675742, 0.233313, 0.401187
